creator_id,numberOfProjects
1655558466,53
2104052526,53
957058942,46
316444840,44
2039317553,39
1229765692,36
1215805427,34
863477191,26
172204344,23
1383111647,20
2000822834,19
1712814392,18
1426920270,18
2139673935,18
1398250711,18
1546666383,18
181205384,18
1339310935,17
631131991,17
1229605719,16
308247697,16
37572539,16
1241276222,16
1323060510,15
891191024,15
580776553,14
1455229821,14
1112602605,14
249225636,14
2066133663,14
393497409,14
285427038,14
1943918369,14
1704592942,13
1095850670,13
323383323,13
1266715297,13
1715525500,13
1722808047,13
2053011023,13
353091567,13
950176022,13
1460165270,12
1936957958,12
1214441175,12
1474770115,12
787761497,12
67935456,12
912216750,12
102137316,11
1938938385,11
990359968,11
1309625928,11
337503446,11
1200312495,10
1150440308,10
1900602681,10
1752350052,10
1849411695,10
1070452795,10
2052907446,10
2066895977,10
1079647662,10
77662002,10
92993956,10
1736772401,10
1130090171,10
2017955264,10
841430805,10
1287579779,10
103879051,10
1867761411,10
782504191,10
476048001,9
897079804,9
1637609124,9
279278253,9
1680537640,9
130525178,9
131906106,9
137857383,9
507431118,9
585926215,9
1618066760,9
148982461,9
2134752613,9
1303097501,9
1537237978,9
1962047628,9
2113730376,9
902520719,9
188899354,9
208011788,9
580261077,9
506671,9
526799935,9
243135913,8
1176440435,8
496018697,8
1428795197,8
37999050,8
1482231418,8
227420970,8
910287374,8
910678389,8
954587867,8
205367887,8
1593311879,8
1784334872,8
1260190515,8
1060627644,8
1219446239,8
1706638754,8
30996314,8
729711855,8
1841974506,8
207925240,8
1378096888,8
1542689813,8
1682680809,8
826155269,8
2075112834,8
1726788789,8
1691550192,8
776571295,8
2017293790,8
455978459,8
2146111355,8
459574557,8
1582272995,8
292967578,8
1129260597,8
1109233860,7
768022427,7
1560055297,7
676925895,7
1927433849,7
2096699057,7
1680524718,7
132143500,7
1842571016,7
1010057243,7
1884786967,7
155208900,7
524558525,7
497057119,7
297009621,7
521277495,7
726307580,7
1460833702,7
2081504493,7
1331989705,7
1766493251,7
254771949,7
1967914446,7
723886115,7
697708033,7
1381495611,7
1406195403,7
1741056538,7
551603510,7
2022066517,7
1086083969,7
996521219,7
240580402,7
1545877049,7
469311243,7
354218250,7
2078362359,7
1434376384,7
2113750962,7
1619350368,7
2047207582,7
1434771051,7
1953423435,7
1257390142,7
